tag	cell	method	stage	metrics
cap_fxmm_base_qa_uns	base_qa	unsteered	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.3495
cap_fxaw_base_qa_uns	base_qa	unsteered	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4189 ARC_CHALLENGE/ACC_NORM: 0.4462 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 9.4476 WIKITEXT/BYTE_PERPLEXITY: 1.5219 WIKITEXT/BITS_PER_BYTE: 0.6059
cap_gen_base_qa_uns	base_qa	unsteered	generative	MMLU/CHOICE/ACCURACY: 0.1570 MMLU/CHOICE/STDERR: 0.0115 ARC_CHALLENGE/CHOICE/ACCURACY: 0.1580 ARC_CHALLENGE/CHOICE/STDERR: 0.0115
cap_fxmm_base_qa_iti_base_qa_paper	base_qa	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.3382
cap_fxaw_base_qa_iti_base_qa_paper	base_qa	iti	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3712 ARC_CHALLENGE/ACC_NORM: 0.4138 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 15.3021 WIKITEXT/BYTE_PERPLEXITY: 1.6655 WIKITEXT/BITS_PER_BYTE: 0.7360
cap_gen_base_qa_iti_base_qa_paper	base_qa	iti	generative	MMLU/CHOICE/ACCURACY: 0.0390 MMLU/CHOICE/STDERR: 0.0061 ARC_CHALLENGE/CHOICE/ACCURACY: 0.0430 ARC_CHALLENGE/CHOICE/STDERR: 0.0064
cap_fxmm_base_qa_iti_base_qa_a8	base_qa	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.3537
cap_fxaw_base_qa_iti_base_qa_a8	base_qa	iti	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4010 ARC_CHALLENGE/ACC_NORM: 0.4428 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 10.3321 WIKITEXT/BYTE_PERPLEXITY: 1.5476 WIKITEXT/BITS_PER_BYTE: 0.6300
cap_gen_base_qa_iti_base_qa_a8	base_qa	iti	generative	MMLU/CHOICE/ACCURACY: 0.1390 MMLU/CHOICE/STDERR: 0.0109 ARC_CHALLENGE/CHOICE/ACCURACY: 0.1530 ARC_CHALLENGE/CHOICE/STDERR: 0.0114
cap_fxmm_base_qa_iti_base_qa_k24	base_qa	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.3395
cap_fxaw_base_qa_iti_base_qa_k24	base_qa	iti	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3933 ARC_CHALLENGE/ACC_NORM: 0.4249 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 11.7775 WIKITEXT/BYTE_PERPLEXITY: 1.5860 WIKITEXT/BITS_PER_BYTE: 0.6654
cap_gen_base_qa_iti_base_qa_k24	base_qa	iti	generative	MMLU/CHOICE/ACCURACY: 0.1120 MMLU/CHOICE/STDERR: 0.0100 ARC_CHALLENGE/CHOICE/ACCURACY: 0.1210 ARC_CHALLENGE/CHOICE/STDERR: 0.0103
cap_fxmm_base_qa_iti_base_qa_k96	base_qa	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2951
cap_fxaw_base_qa_iti_base_qa_k96	base_qa	iti	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3131 ARC_CHALLENGE/ACC_NORM: 0.3481 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 76.1489 WIKITEXT/BYTE_PERPLEXITY: 2.2484 WIKITEXT/BITS_PER_BYTE: 1.1689
cap_gen_base_qa_iti_base_qa_k96	base_qa	iti	generative	MMLU/CHOICE/ACCURACY: 0.0090 MMLU/CHOICE/STDERR: 0.0030 ARC_CHALLENGE/CHOICE/ACCURACY: 0.0200 ARC_CHALLENGE/CHOICE/STDERR: 0.0044
cap_fxmm_base_qa_iti_base_qa_a22	base_qa	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2319
cap_fxaw_base_qa_iti_base_qa_a22	base_qa	iti	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.2270 ARC_CHALLENGE/ACC_NORM: 0.2270 WIKITEXT/SAMPLE_LEN: 62.0000
cap_gen_base_qa_iti_base_qa_a22	base_qa	iti	generative	MMLU/CHOICE/ACCURACY: 0.0000 MMLU/CHOICE/STDERR: 0.0000 ARC_CHALLENGE/CHOICE/ACCURACY: 0.0000 ARC_CHALLENGE/CHOICE/STDERR: 0.0000
