tag	cell	method	true	info	mc1	mc2	args
sp_base_qa_l0_ep8_completion	base_qa	sparse	0.7800	0.9700	0.5700	0.7622	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=8 steer_token_position=completion
sp_base_qa_l0_ep8_all	base_qa	sparse	0.9100	0.9500	0.5500	0.7528	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=8 steer_token_position=all
sp_base_qa_l0_ep16_completion	base_qa	sparse	0.8500	0.9600	0.6400	0.8003	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=completion
sp_base_qa_l0_ep16_all	base_qa	sparse	0.9100	0.9500	0.6300	0.8109	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=all
sp_base_qa_l0.003_ep8_completion	base_qa	sparse	0.7700	0.9500	0.5600	0.7477	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=8 steer_token_position=completion
sp_base_qa_l0.003_ep8_all	base_qa	sparse	0.8800	0.9700	0.5200	0.7370	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=8 steer_token_position=all
sp_base_qa_l0.003_ep16_completion	base_qa	sparse	0.8200	0.9500	0.6000	0.7836	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=completion
sp_base_qa_l0.003_ep16_all	base_qa	sparse	0.8600	0.9700	0.5700	0.7814	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=all
sp_base_qa_l0.01_ep8_completion	base_qa	sparse	0.7600	0.9700	0.4900	0.7128	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=8 steer_token_position=completion
sp_base_qa_l0.01_ep8_all	base_qa	sparse	0.8500	0.9600	0.5000	0.6948	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=8 steer_token_position=all
