tag	cell	method	stage	metrics
cap_fxmm_ll_qa_uns	ll_qa	unsteered	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_qa_uns	ll_qa	unsteered	loglik-fx-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.4411 ARC_CHALLENGE/ACC_NORM: 0.4428 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 12.1945 WIKITEXT/BYTE_PERPLEXITY: 1.5963 WIKITEXT/BITS_PER_BYTE: 0.6747
cap_ctmm_ll_qa_uns	ll_qa	unsteered	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_qa_uns	ll_qa	unsteered	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3541 ARC_CHALLENGE/ACC_NORM: 0.3712 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 12.1945 WIKITEXT/BYTE_PERPLEXITY: 1.5963 WIKITEXT/BITS_PER_BYTE: 0.6747
cap_gen_ll_qa_uns	ll_qa	unsteered	generative	MMLU/CHOICE/ACCURACY: 0.3650 MMLU/CHOICE/STDERR: 0.0152 ARC_CHALLENGE/CHOICE/ACCURACY: 0.4380 ARC_CHALLENGE/CHOICE/STDERR: 0.0157
cap_fxmm_ll_qa_iti_ll_qa_a15	ll_qa	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
cap_fxaw_ll_qa_iti_ll_qa_a15	ll_qa	iti	loglik-fx-arcwiki	WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 19.0224 WIKITEXT/BYTE_PERPLEXITY: 1.7347 WIKITEXT/BITS_PER_BYTE: 0.7947 ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3942 ARC_CHALLENGE/ACC_NORM: 0.4027
cap_ctmm_ll_qa_iti_ll_qa_a15	ll_qa	iti	loglik-ct-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.2382
cap_ctaw_ll_qa_iti_ll_qa_a15	ll_qa	iti	loglik-ct-arcwiki	ARC_CHALLENGE/SAMPLE_LEN: 1172.0000 ARC_CHALLENGE/ACC: 0.3379 ARC_CHALLENGE/ACC_NORM: 0.3507 WIKITEXT/SAMPLE_LEN: 62.0000 WIKITEXT/WORD_PERPLEXITY: 19.0224 WIKITEXT/BYTE_PERPLEXITY: 1.7347 WIKITEXT/BITS_PER_BYTE: 0.7947
cap_gen_ll_qa_iti_ll_qa_a15	ll_qa	iti	generative	MMLU/CHOICE/ACCURACY: 0.1780 MMLU/CHOICE/STDERR: 0.0121 ARC_CHALLENGE/CHOICE/ACCURACY: 0.2950 ARC_CHALLENGE/CHOICE/STDERR: 0.0144
cap_fxmm_ll_qa_iti_ll_qa_a22	ll_qa	iti	loglik-fx-mmlu	MMLU/SAMPLE_LEN: 5700.0000 MMLU/ACC: 0.4702
