tag	cell	method	true	info	mc1	mc2	args
sp_qw_qa_l0_ep8_completion	qw_qa	sparse	0.9500	0.9300	0.6300	0.7775	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=8 steer_token_position=completion
sp_qw_qa_l0_ep8_all	qw_qa	sparse	0.9800	0.8300	0.6300	0.7712	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=8 steer_token_position=all
sp_qw_qa_l0_ep16_completion	qw_qa	sparse	0.9900	0.9100	0.6600	0.8227	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=completion
sp_qw_qa_l0_ep16_all	qw_qa	sparse	1.0000	0.9800	0.7100	0.8406	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0 num_epochs=16 steer_token_position=all
sp_qw_qa_l0.003_ep8_completion	qw_qa	sparse	0.9600	0.9300	0.6400	0.7795	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=8 steer_token_position=completion
sp_qw_qa_l0.003_ep8_all	qw_qa	sparse	0.9900	0.7200	0.6400	0.7784	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=8 steer_token_position=all
sp_qw_qa_l0.003_ep16_completion	qw_qa	sparse	0.9400	0.9000	0.6500	0.8111	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=completion
sp_qw_qa_l0.003_ep16_all	qw_qa	sparse	1.0000	0.9800	0.7000	0.8273	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.003 num_epochs=16 steer_token_position=all
sp_qw_qa_l0.01_ep8_completion	qw_qa	sparse	0.9500	0.9000	0.6200	0.7662	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=8 steer_token_position=completion
sp_qw_qa_l0.01_ep8_all	qw_qa	sparse	0.9700	0.7700	0.6300	0.7778	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=8 steer_token_position=all
sp_qw_qa_l0.01_ep16_completion	qw_qa	sparse	0.9600	0.8600	0.6400	0.7868	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=16 steer_token_position=completion
sp_qw_qa_l0.01_ep16_all	qw_qa	sparse	1.0000	0.7800	0.6600	0.8077	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.01 num_epochs=16 steer_token_position=all
sp_qw_qa_l0.03_ep8_completion	qw_qa	sparse	0.9300	0.6600	0.5400	0.7433	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=8 steer_token_position=completion
sp_qw_qa_l0.03_ep8_all	qw_qa	sparse	1.0000	0.4400	0.5900	0.7700	method=sparse train_batch_size=1 +contrastive_weight=1 +ce_weight=0 track_gates=false extract_token_position=completion_final +contrastive_max_n_neg=3 init_raw_scale=15 l0_lambda=0.03 num_epochs=8 steer_token_position=all
