cell	method	tag	stage	metric	value	delta_vs_unsteered
base_qa	iti	cap_gen_base_qa_iti_base_qa_a22	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.0000	-0.1580
base_qa	iti	cap_gen_base_qa_iti_base_qa_a8	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.1750	+0.0170
base_qa	iti	cap_gen_base_qa_iti_base_qa_k24	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.1360	-0.0220
base_qa	iti	cap_gen_base_qa_iti_base_qa_k96	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.0180	-0.1400
base_qa	sparse	cap_gen_base_qa_sp_base_qa_l0.003_ep8_all	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.0070	-0.1510
base_qa	sparse	cap_gen_base_qa_sp_base_qa_l0.01_ep16_all	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.0760	-0.0820
base_qa	sparse	cap_gen_base_qa_sp_base_qa_l0_ep16_all	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.0260	-0.1320
base_qa	sparse	cap_gen_base_qa_sp_base_qa_l0_ep8_all	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.0050	-0.1530
base_qa	unsteered	cap_gen_base_qa_uns	generative	ARC_CHALLENGE/CHOICE/ACCURACY	0.1580	
base_qa	iti	cap_gen_base_qa_iti_base_qa_a22	generative	MMLU/CHOICE/ACCURACY	0.0000	-0.1570
base_qa	iti	cap_gen_base_qa_iti_base_qa_a8	generative	MMLU/CHOICE/ACCURACY	0.1580	+0.0010
base_qa	iti	cap_gen_base_qa_iti_base_qa_k24	generative	MMLU/CHOICE/ACCURACY	0.1190	-0.0380
base_qa	iti	cap_gen_base_qa_iti_base_qa_k96	generative	MMLU/CHOICE/ACCURACY	0.0080	-0.1490
base_qa	sparse	cap_gen_base_qa_sp_base_qa_l0.003_ep8_all	generative	MMLU/CHOICE/ACCURACY	0.0080	-0.1490
base_qa	sparse	cap_gen_base_qa_sp_base_qa_l0.01_ep16_all	generative	MMLU/CHOICE/ACCURACY	0.0570	-0.1000
base_qa	sparse	cap_gen_base_qa_sp_base_qa_l0_ep16_all	generative	MMLU/CHOICE/ACCURACY	0.0210	-0.1360
base_qa	sparse	cap_gen_base_qa_sp_base_qa_l0_ep8_all	generative	MMLU/CHOICE/ACCURACY	0.0050	-0.1520
base_qa	unsteered	cap_gen_base_qa_uns	generative	MMLU/CHOICE/ACCURACY	0.1570	
