cell	method	tag	true	info	mc1	mc2	true_f0	info_f0	mc1_f0	mc2_f0	true_f1	info_f1	mc1_f1	mc2_f1
base_qa	iti	iti_base_qa_a22	0.9914	0.0392	0.0000		0.9902	0.0293	0.0000		0.9926	0.0490	0.0000	
base_qa	iti	iti_base_qa_a8	0.4039	0.9523	0.2827	0.4217	0.4328	0.9584	0.3178	0.4621	0.3750	0.9461	0.2475	0.3813
base_qa	iti	iti_base_qa_k24	0.4185	0.9486	0.2913	0.4425	0.5037	0.9438	0.3350	0.4926	0.3333	0.9534	0.2475	0.3924
base_qa	iti	iti_base_qa_k96	0.7491	0.4809	0.3451	0.5109	0.6968	0.5403	0.3765	0.5467	0.8015	0.4216	0.3137	0.4751
base_qa	iti	iti_base_qa_paper	0.5814	0.6069	0.2924	0.4403	0.5819	0.7653	0.3374	0.4988	0.5809	0.4485	0.2475	0.3817
base_qa	sparse	sp_base_qa_l0.003_ep8_all	0.8507	0.9473	0.5055	0.6707	0.8215	0.9658	0.4866	0.6655	0.8799	0.9289	0.5245	0.6759
base_qa	sparse	sp_base_qa_l0_ep16_all	0.8850	0.9413	0.5594	0.7189	0.8557	0.9462	0.5477	0.7204	0.9142	0.9363	0.5711	0.7175
base_qa	sparse	sp_base_qa_l0_ep8_all	0.8801	0.9436	0.5166	0.6827	0.8460	0.9584	0.5086	0.6834	0.9142	0.9289	0.5245	0.6820
base_qa	sparse	sp_base_qa_l0_ep8_answer_gen	0.8593	0.9657	0.5324	0.6828	0.8460	0.9707	0.5232	0.6866	0.8725	0.9608	0.5417	0.6791
base_qa	unsteered	uns_base_qa	0.3280	0.9547	0.2644	0.3946	0.3276	0.9609	0.2616	0.3909	0.3284	0.9485	0.2672	0.3983
ll_ch	iti	iti_ll_ch_k24	0.7785	0.9351	0.3268	0.5286	0.7971	0.9438	0.3276	0.5259	0.7598	0.9265	0.3260	0.5313
ll_ch	iti	iti_ll_ch_k96	0.7809	0.8960	0.3207	0.5316	0.7677	0.8973	0.3301	0.5240	0.7941	0.8946	0.3113	0.5392
ll_ch	sparse	sp_ll_ch_l0_ep16_answer_gen	0.9143	0.9645	0.5178	0.6968	0.9022	0.9756	0.4817	0.6824	0.9265	0.9534	0.5539	0.7113
ll_ch	unsteered	uns_ll_ch	0.7809	0.9523	0.2864	0.5018	0.7848	0.9535	0.2763	0.4922	0.7770	0.9510	0.2966	0.5113
ll_qa	iti	iti_ll_qa_a15	0.8506	0.9339	0.4064	0.5962	0.8704	0.9487	0.3888	0.5932	0.8309	0.9191	0.4240	0.5993
ll_qa	iti	iti_ll_qa_k128	0.8910	0.7147	0.3464	0.5727	0.9193	0.8093	0.3399	0.5615	0.8627	0.6201	0.3529	0.5840
ll_qa	iti	iti_ll_qa_k96	0.8812	0.9082	0.3831	0.5947	0.9193	0.9218	0.3716	0.5917	0.8431	0.8946	0.3946	0.5977
